id,name,country,status,formed_in,active
1,('M') Inc.,United States,Unknown,2009,2009-?
2,(sic),United States,Split-up,1993,1993-1996
3,.F.O.A.D.,France,Active,2009,2009-present
4,100 Suns,United States,Active,2004,2004-present
5,12 Days of Anarchy,United States,Split-up,1998,1998-2002
6,13th Cadaver,United States,Changed name,2006,2006-?| ?-2007 (as Splatter the Cadaver)| 2008 (as Splatter the Cadaver)
7,1917,Argentina,Active,1994,1994-present
8,5th Column,United States,Active,2003,2003-present
9,6 Feet Under,Germany,Split-up,N/A,N/A
10,602,Russia,Active,2012,2012-present
11,7th Delirium,Spain,Split-up,1998,1998-?
12,7th Gate,Austria,Split-up,N/A,N/A
13,9,Argentina,Active,2008,2008-present
14,9th Plague,Sweden,Split-up,2000,2000-2008
15,A Dark Place,Australia,Unknown,2009,2009-?
16,A Dying Season,Mexico,Active,2010,2010-present
17,A Greed Science,Australia,Active,2009,2009-present
18,A Life Less Alive,United States,Active,1997,1997-present
19,A Place for Murder,Italy,Active,2009,2009-2012| 2013-present
20,A Tomba Oberta,Spain,Active,2013,2013-present
21,A-Rise,Germany,Changed name,1999,1999-2013| 2013-present (as Sic Zone)
22,A.R.M.A.,Italy,Unknown,2008,2002-2008 (as Void Essence)| 2008-?
23,AAAAARGH! Bloody 2-Handed Chainaxe Blow,France,Unknown,1999,1999-?
24,Ab-Irato,Argentina,Active,N/A,N/A
25,Abaddon,Australia,Split-up,2006,2006-2008
26,Abaddon,Brazil,Split-up,2003,2003-2004| 2004 (as Ritus Tenebrum)
27,Abaddon,Bulgaria,Active,1999,1999-present
28,Abaddon,Chile,Active,1989,1989 (as Tormentor)| 1989-present
29,Abaddon,Czech Republic,Split-up,1989,1989-1994
30,Abaddon,Czech Republic,Active,2007,2007-present
31,Abaddon,Poland,Changed name,1992,1992-1994| 1994-present (as Sepsis)
32,Abaddon,United States,Split-up,N/A,N/A
33,Abadon,Colombia,Split-up,N/A,N/A
34,Abandoned,Germany,Split-up,1994,1994-?
35,Abantesma,Brazil,Split-up,2000,2000-?
36,Abattoir,Denmark,Split-up,1991,1991-?
37,Abattoir,Singapore,Changed name,1997,1997-1999| 1999-present (as Abattory)
38,Abattoir,Slovenia,Unknown,1999,1999-?
39,Abattoir Pigs,United Kingdom,Split-up,2004,2004-?
40,Abbatoir,Brazil,Changed name,2003,2003-2007| 2007-2010 (as S.O:M.A)
41,Abbattoir,United Kingdom,Changed name,1997,1997-?| ?-? (as Devoured)
42,Abbysmal,Bolivia,Active,2012,2012-present
43,Abdicated,Brazil,Active,2009,2009-present
44,Abdominal,Colombia,Split-up,1995,1995-2003
45,Abducción,Colombia,Active,2011,2011-present
46,Abducted,Hungary,Split-up,N/A,N/A
47,Abemal,Sweden,Split-up,1989,1989-1994
48,Aberrante,Panama,Active,2012,2012-present
49,Aberration,Poland,Changed name,1992,1992-?| ?-present (as Hope Industry)
50,Abgabba,United States,Active,2007,2007-present
51,Abhira,Indonesia,Active,2013,2009-2013 (as Gemeinschaft by Blood)| 2013-present
52,Abhor,Brazil,Split-up,1991,1991-1993
53,Abhordium,Finland,Active,2005,2005-present
54,Abhorrance,United States,Split-up,1990,1990-?
55,Abhorred,United Arab Emirates,Unknown,1999,1999-?
56,Abhorrence,Finland,Unknown,1989,1989-1990| 2012-?
57,Abhorrence,Germany,Split-up,N/A,N/A
58,Abhorrence,South Africa,Split-up,1992,1992-1994
59,Abhorrence,United States,Split-up,1989,1989-?
60,Abhorrent Aggression,United States,Split-up,2012,2012-2015
61,Abhorrent Decimation,United Kingdom,Active,2013,2013-present
62,Abhorrent Life,Germany,Split-up,2000,? (as Morimentum)| 2000-?
63,Abhorrer,Brazil,Split-up,2001,2001-?
64,Abhoth,Sweden,Split-up,1989,1988-1989 (as Morbid Salvation Army)| 1989-1999| 1999 (as Chimera)
65,Abiosis,United Kingdom,Split-up,1990,1990| 1990-?
66,Abiosis,United States,Split-up,1991,1991-1994
67,Abiura,Italy,Split-up,1999,1999-2000 (as Devoured by Vermin)| 2000-?
68,Abjekt,France,Changed name,2011,2011-2013| 2013-present (as Pestkhlyst)
69,Abjury,Canada,Split-up,2007,2003-2007 (as Moonless Equinox)| 2007-?
70,Ablation,Canada,Split-up,1991,1991-?
71,Ablepsia,Colombia,Active,1996,1996-2000| 2007-present
