id,album,score
1,4,0.88
2,5,0.96
3,8,0.83
4,45,0.8
5,54,0.92
6,62,0.65
7,62,0.5
8,65,0.76
9,66,0.9
10,66,0.75
11,66,0.89
12,66,0.93
13,67,0.87
14,67,1.0
15,67,0.95
16,67,0.86
17,67,0.87
18,67,0.85
19,68,0.85
20,68,0.65
21,68,0.98
22,68,0.18
23,68,0.6
24,68,0.87
25,68,0.85
26,68,0.33
27,69,0.8
28,69,0.53
29,69,0.8
30,69,0.89
31,69,0.8
32,69,0.9
33,70,0.95
34,70,0.05
35,70,0.3
36,70,0.95
37,70,0.45
38,70,0.8
39,70,0.9
40,70,0.4
41,71,0.89
42,71,0.94
43,71,1.0
44,71,0.85
45,71,0.85
46,71,0.8
47,71,0.85
48,71,0.75
49,71,0.9
50,71,0.9
51,71,0.8
52,71,0.9
53,71,0.95
54,72,0.73
55,72,0.95
56,72,0.63
57,72,0.85
58,72,0.71
59,73,0.8
60,75,0.8
61,77,0.8
62,78,0.83
63,79,0.7
64,81,0.7
65,81,0.89
66,87,0.87
67,90,0.97
68,90,0.79
69,91,0.68
70,91,0.82
71,91,0.75
72,91,0.75
73,91,0.5
74,91,0.7
75,92,0.8
76,92,0.6
77,92,0.8
78,92,0.68
79,93,0.7
80,93,0.78
81,94,0.8
82,94,0.9
83,101,0.83
84,107,0.9
85,107,0.95
86,108,0.8
87,109,0.4
88,110,0.7
89,113,0.9
90,113,0.85
91,113,0.67
92,113,0.75
93,113,0.59
94,118,0.9
95,118,0.92
96,118,0.97
97,118,0.87
98,119,0.85
99,120,0.69
100,122,0.53
101,122,0.2
102,122,0.9
103,122,0.54
104,122,0.85
105,122,0.69
106,122,0.9
107,123,0.65
108,123,0.85
109,123,0.73
110,123,0.95
111,123,0.2
112,123,0.75
113,123,0.9
114,124,0.95
115,124,0.79
116,124,0.6
117,125,0.87
118,125,0.85
119,125,0.53
120,125,0.3
121,125,0.85
122,126,0.95
123,130,0.05
124,132,0.3
125,138,0.75
126,148,0.7
